target	fold
KDM3B	2
KDM4A	3
KDM4B	3
KDM4C	3
KDM5A	9
KDM5B	10
KDM5D	6
KDM6A	7
KDM7A	9
KDSR	5
KHDC4	4
KHK	9
KIAA0040	1
KIAA0513	8
KIAA0753	1
KIAA0930	7
KIAA1586	5
KIAA2013	4
KIF13B	7
KIF14	4
KIF16B	10
KIF1B	10
KIF1C	8
KIF20B	9
KIF21A	10
KIF22	8
KIF2A	5
KIF2C	10
KIF3A	10
KIF3C	8
KIF5B	9
KIFBP	3
KIFC1	9
KIZ	6
KLC1	2
KLC2	1
KLF10	7
KLF11	5
KLF12	4
KLF7	6
KLF9	7
KLHDC10	2
KLHDC2	5
KLHDC4	10
KLHDC7B	7
KLHL11	6
KLHL12	4
KLHL17	3
KLHL18	2
KLHL2	2
KLHL21	9
KLHL22	6
KLHL24	3
KLHL26	9
KLHL36	10
KLHL6	2
KLHL7	8
KLHL8	9
KMT2C	9
KMT2E	10
KMT5B	9
KMT5C	3
KNOP1	1
KNSTRN	6
KPNA2	6
KPNA3	7
KPNA4	9
KPNA5	2
KRAS	1
KRBA2	10
KRBOX4	5
KRCC1	7
KSR1	1
KTI12	10
KTN1	9
KXD1	2
L2HGDH	5
L3MBTL2	9
L3MBTL3	4
LACTB	6
LACTB2	10
LAIR1	4
LAMP1	9
LAMP2	2
LAMP3	6
LAMTOR4	9
LANCL2	3
LAP3	6
LAPTM4A	1
LAPTM4B	1
LAPTM5	5
LARP1B	5
LARP4	10
LARP4B	1
LASP1	2
LAT2	4
LATS1	6
LAX1	8
LBR	9
LCLAT1	3
LCMT1	3
LCORL	7
LCP1	10
LDAH	3
LDB1	2
LDHB	7
LEMD2	8
LEMD3	4
LEPR	9
LETMD1	2
LFNG	4
LGALS1	9
LGALS3	8
LGALS3BP	5
LGALS8	6
LHPP	10
LIG3	4
LIG4	5
LIMA1	7
LIMD1	7
LIMD2	9
LIMK1	5
LIMK2	1
LIN37	7
LIN7C	10
LIPA	8
LITAF	8
LIX1L	9
LLPH	1
LMAN2L	6
LMBR1	7
LMBR1L	5
LMNA	9
LMNB1	8
LMNB2	4
LMTK2	7
LNPEP	7
LNPK	1
LONP2	5
LPAR6	3
LPCAT1	3
LPCAT4	2
LPIN1	1
LPXN	8
LRCH1	7
LRCH3	8
LRFN3	1
LRFN4	4
LRIF1	4
LRIG1	2
LRIG2	1
LRP10	3
LRP11	7
LRPAP1	10
LRRC20	1
LRRC40	7
LRRC47	6
LRRC57	5
LRRC8A	4
LRRC8C	3
LRRFIP2	6
LRRN3	9
LSM1	4
LSM14A	6
LSM14B	6
LTA4H	8
LTBP3	8
LTBP4	4
LTN1	3
LUC7L	1
LUZP1	7
LXN	10
LY6E	2
LY75	2
LY96	10
LYPLAL1	2
LYRM2	5
LYRM7	4
LYSET	8
LYSMD2	8
LYSMD3	9
LYSMD4	1
LYST	7
LZTS1	4
LZTS2	4
M6PR	2
MACIR	5
MACROD1	1
MACROH2A1	9
MADD	8
MAEA	7
MAFG	4
MAFK	10
MAGED2	10
MAGEF1	3
MAGEH1	8
MAGOHB	3
MAL	4
MALT1	8
MAML1	8
MAML2	1
MAMLD1	2
MAN1A1	8
MAN1B1	6
MAN2A1	9
MAN2A2	6
MAN2B2	8
MANBA	6
MANBAL	1
MANEA	8
MANF	2
MAP2K1	6
MAP2K2	3
MAP2K3	4
MAP2K4	5
MAP3K1	4
MAP3K10	5
MAP3K11	4
MAP3K2	3
MAP3K3	5
MAP3K8	9
MAP3K9	9
MAP4K1	10
MAP4K3	6
MAP4K4	2
MAP4K5	2
MAP7D1	8
MAP7D3	4
MAP9	2
MAPK1	9
MAPK13	6
MAPK1IP1L	5
MAPK3	6
MAPK6	9
MAPK8	4
MAPK8IP3	10
MAPK9	3
MAPKAP1	9
MAPKAPK2	3
MAPKAPK5	7
MAPKBP1	6
MAPRE1	2
MAPRE2	1
MARCHF8	3
MARCKSL1	9
MARK3	2
MAST2	4
MAVS	2
MAX	5
MB21D2	6
MBD3	10
MBD6	4
MBIP	5
MBOAT1	5
MCAT	8
MCCC1	10
MCCC2	5
MCM8	9
MCOLN1	7
MCOLN3	2
MCPH1	1
MCTP2	6
MCUB	9
MCUR1	1
MDFIC	7
MDM1	10
ME2	4
MECR	9
MED13	1
MED15	1
MED20	9
MED23	3
MED30	8
MEF2A	5
MEF2D	7
MEGF9	2
MELK	7
MEPCE	8
MESD	8
METTL13	7
METTL15	4
METTL17	4
METTL22	9
METTL26	6
METTL9	8
MEX3C	6
MFF	5
MFGE8	2
MFN1	8
MFNG	8
MFSD1	4
MFSD11	8
MFSD12	8
MFSD13A	2
MFSD14A	3
MFSD4B	6
MFSD5	8
MGA	5
MGAT1	6
MGAT2	7
MGAT4A	3
MGAT5	6
MGMT	9
MGRN1	5
MGST2	8
MGST3	9
MIA2	1
MIB1	7
MICA	4
MICAL1	4
MICAL3	9
MICU1	8
MICU2	4
MID1IP1	10
MIDN	8
MIEF1	8
MIER3	8
MIF	8
MIF4GD	9
MIGA1	5
MIGA2	6
MIIP	8
MINDY2	9
MINDY3	9
MINPP1	5
MIPEP	2
MITD1	8
MKKS	6
MKLN1	4
MKNK1	3
MKNK2	3
MKRN2	1
MKS1	7
MLEC	7
MLH3	7
MLKL	5
MLLT1	8
MLST8	7
MMAA	8
MMAB	1
MND1	1
MOB1A	9
MOCS2	4
MOGS	7
MON1A	3
MON1B	8
MORC3	6
MORF4L1	7
MORF4L2	9
MOSPD1	2
MOSPD3	8
MOV10	6
MPC1	6
MPLKIP	9
MPP1	5
MPPE1	10
MPRIP	7
MPV17	9
MPV17L2	1
MPZL1	5
MPZL3	1
MREG	8
MRI1	6
MRM2	7
MRNIP	10
MRS2	4
MSANTD2	10
MSANTD3	6
MSH2	6
MSH6	10
MSI2	3
MSL2	8
MSN	4
MSRA	2
MSRB1	7
MT1E	10
MT1X	5
MT2A	6
MTA1	8
MTAP	9
MTCH1	4
MTCH2	8
MTCL3	9
MTDH	8
MTERF1	7
MTERF2	5
MTERF4	10
MTF2	9
MTFP1	7
MTFR1	5
MTFR1L	6
MTG1	2
MTG2	5
MTHFD1L	10
MTHFD2	10
MTHFD2L	7
MTHFSD	4
MTIF2	7
MTM1	8
MTMR1	6
MTMR12	5
MTMR14	9
MTMR4	10
MTMR6	5
MTMR9	2
MTO1	8
MTPN	7
MTRF1	7
MTRF1L	3
MTRR	4
MTX3	4
MUC1	6
MUL1	2
MVB12A	10
MVP	10
MX1	7
MXD1	4
MXD4	3
MYB	2
MYDGF	8
MYG1	2
MYH9	6
MYL12A	5
MYL6	5
MYL6B	10
MYLIP	9
MYNN	2
MYO1C	3
MYO1E	10
MYO1F	7
MYO1G	5
MYO5A	1
MYO9A	9
MYSM1	5
MZB1	6
N4BP1	5
N4BP2	1
N4BP2L1	4
N4BP2L2	2
N4BP3	5
NAA16	5
NAA35	1
NAA40	10
NAA60	8
NAAA	7
NAB1	9
NABP1	10
NAGA	2
NAGK	9
NAGPA	5
NANP	9
NANS	2
NAP1L4	1
NAP1L5	8
NAPB	2
NAPEPLD	1
NAPG	5
NAPRT	2
NARS2	2
NAT1	6
NATD1	2
NAXE	2
NBEAL2	2
NBL1	6
NCAPG2	2
NCBP3	9
NCEH1	6
NCF4	1
NCK1	5
NCKAP1L	5
NCLN	2
NCOA1	4
NCOA2	8
NCOA4	10
NCOA6	10
NCR3	3
NDE1	5
NDFIP1	1
NDFIP2	2
NDRG1	9
NDST2	9
NDUFA10	1
NDUFA11	2
NDUFA12	7
NDUFA13	4
NDUFA3	1
NDUFA4	8
NDUFA8	7
NDUFA9	9
NDUFAF1	6
NDUFAF3	8
NDUFAF4	10
NDUFAF6	3
NDUFAF8	7
NDUFB2	4
NDUFB3	7
NDUFB4	10
NDUFB5	6
NDUFB6	3
NDUFC1	8
NDUFS2	3
NDUFS3	1
NDUFS4	5
NDUFS5	7
NDUFS6	9
NDUFS7	4
NDUFS8	10
NDUFV1	2
NDUFV2	9
NDUFV3	7
NECAB3	5
NECAP2	7
NECTIN3	4
NEIL3	9
NEK1	1
NEK2	5
NEK7	5
NEK9	1
NEMF	7
NEMP1	1
NEMP2	9
NETO2	9
NEU3	7
NEURL4	9
NF1	5
NF2	8
NFAT5	9
NFATC2IP	8
NFATC3	1
NFE2L3	6
NFKB1	3
NFKB2	6
NFKBIA	8
NFKBIL1	8
NFKBIZ	6
NFRKB	8
NFU1	4
NFX1	7
NFXL1	6
NGRN	10
NHEJ1	7
NHERF1	2
NIBAN1	1
NICOL1	1
NIN	9
NIPA1	3
NIPA2	6
NIPBL	7
NIPSNAP1	2
NIPSNAP2	6
NIPSNAP3A	8
NKRF	7
NKTR	2
NLK	8
NLRC5	10
NLRP1	4
NLRP2	4
NLRX1	3
NMB	1
NME1	2
NME3	3
NME4	4
NME6	6
NMI	5
NMRK1	9
NNT	5
NOCT	5
NOD1	4
NOMO1	6
NONO	1
NOTCH1	8
NOTCH2	8
NPEPL1	7
NPHP3	6
NPM3	10
NPTN	4
NPTX1	4
NQO1	5
NQO2	5
NR1H2	5
NR2C2	5
NR3C1	3
NRAS	8
NRBF2	8
NRDC	2
NREP	8
NRM	10
NRROS	1
NSD1	8
NSMF	5
NSUN4	10
NSUN5	4
NSUN6	10
NT5C	5
NT5C2	3
NT5C3B	3
NT5DC1	6
NT5DC2	6
NT5DC3	6
NT5E	6
NTAN1	3
NTAQ1	7
NTMT1	1
NUB1	3
NUBPL	8
NUCB2	9
NUCKS1	1
NUDT1	1
NUDT15	10
NUDT16	3
NUDT16L1	3
NUDT2	10
NUDT7	3
NUDT9	3
NUFIP2	10
NUMB	3
NUP35	6
NUP42	3
NXPE3	9
NXT2	9
OARD1	7
OAS1	8
OAS2	3
OAS3	9
OASL	7
OAT	7
OAZ1	6
OAZ2	6
OBI1	6
OCEL1	10
OCIAD1	6
ODC1	2
ODF2	5
OFD1	2
OGFOD2	9
OGFR	4
OGG1	4
OMA1	7
OPA3	9
ORAI1	7
ORAI2	4
ORMDL2	2
OS9	7
OSBPL11	10
OSBPL8	8
OSER1	7
OSGIN2	7
OSM	7
OST4	10
OSTC	7
OSTM1	3
OTUB1	8
OTUD1	9
OTUD3	4
OTUD5	4
OTUD7B	6
OTULIN	4
OTULINL	1
OXA1L	8
OXCT1	9
OXR1	8
OXSR1	7
P2RX4	10
P2RX5	10
P2RX7	10
P2RY10	3
P2RY8	10
P3H1	6
P4HA1	6
P4HB	6
P4HTM	4
PABIR3	8
PABPC1L	2
PACC1	9
PACRGL	8
PACS1	9
PACS2	2
PAFAH1B2	1
PAFAH1B3	6
PAGR1	1
PAIP2	2
PAK2	10
PAK4	2
PALS1	6
PALS2	9
PAN3	1
PANK1	5
PANK2	7
PANK3	6
PAPOLA	5
PAPSS1	9
PAQR3	2
PAQR4	5
PARD6A	2
PARK7	1
PARL	1
PARP11	1
PARP12	1
PARP14	7
PARP15	8
PARP16	1
PARP4	3
PARP6	8
PARP8	1
PARVG	3
PASK	1
PATJ	1
PATZ1	1
PAXIP1	1
PBDC1	1
PBK	7
PBRM1	8
PBX3	9
PBX4	2
PCBD1	1
PCBP4	6
PCCA	7
PCCB	6
PCGF1	8
PCGF6	10
PCIF1	2
PCK2	5
PCLAF	4
PCMTD1	10
PCMTD2	7
PCNX1	2
PCNX2	8
PCNX3	3
PCNX4	3
PCYOX1	9
PCYOX1L	2
PCYT2	5
PDCD10	9
PDCD2L	9
PDCD4	3
PDCD5	3
PDCD6IP	1
PDCL	9
PDE12	8
PDE1B	1
PDE4B	4
PDE7A	2
PDHB	7
PDIA4	4
PDIA5	4
PDIA6	7
PDK2	9
PDK3	7
PDLIM2	5
PDP1	7
PDP2	7
PDPR	10
PDS5B	5
PDSS1	9
PDXK	6
PDXP	5
PDZD8	5
PEA15	9
PEBP1	7
PEDS1	2
PEF1	9
PELI1	10
PEMT	9
PEPD	2
PER2	7
PERP	4
PEX10	6
PEX11B	1
PEX16	4
PEX19	9
PEX26	4
PEX6	4
PEX7	1
PFDN1	8
PFKM	10
PFKP	3
PGAP3	3
PGGHG	9
PGM1	2
PGP	4
PGRMC1	7
PGRMC2	5
PHACTR4	5
PHAF1	3
PHC1	9
PHC2	3
PHF11	3
PHF12	2
PHF13	6
PHF14	3
PHF2	1
PHF20	6
PHF20L1	10
PHF3	6
PHF8	3
PHGDH	5
PHIP	5
PHKG2	2
PHLPP1	1
PHLPP2	10
PHPT1	2
PHRF1	6
PHTF1	7
PHYH	2
PHYKPL	2
PI4K2B	4
PIAS2	5
PICK1	4
PIF1	4
PIGC	3
PIGG	9
PIGK	9
PIGM	3
PIGO	9
PIGQ	9
PIGT	1
PIGV	8
PIK3C2B	8
PIK3C3	8
PIK3CA	9
PIK3CB	1
PIK3CD	5
PIK3CG	2
PIK3R2	1
PIK3R4	2
PILRB	4
PIN4	3
PINK1	9
PIP5K1A	8
PIP5K1C	9
PIR	5
PITHD1	6
PITPNA	1
PITPNC1	5
PJA2	4
PKD1	2
PKD2	10
PKIA	6
PKM	10
PKN2	7
PKN3	7
PKNOX1	9
PKP4	2
PLA2G6	6
PLAA	6
PLAAT4	5
PLAC8	3
PLAUR	6
PLBD2	10
PLCB2	3
PLCB3	5
PLCG1	3
PLCL2	8
PLCXD1	9
PLCXD2	6
PLD6	6
PLEC	2
PLEKHA1	2
PLEKHA2	8
PLEKHB2	6
PLEKHF1	6
PLEKHF2	3
PLEKHG2	5
PLEKHM3	2
PLEKHO1	5
PLEKHO2	9
PLGRKT	4
PLIN3	4
PLK3	9
PLOD1	4
PLP2	2
PLPBP	7
PLPP1	6
PLPP5	10
PLSCR1	6
PLXNA3	6
PM20D2	2
PMAIP1	7
PML	3
PMM1	7
PMVK	3
PNMA1	5
PNP	4
PNPLA2	4
PNPLA4	1
PNPLA8	6
PNPO	2
PNRC1	2
PNRC2	8
POC1A	10
POC1B	8
POC5	10
POFUT1	1
POFUT2	3
POGK	6
POGLUT1	9
POGLUT2	5
POLB	9
POLD4	8
POLE3	9
POLE4	8
POLG	5
POLM	9
POLQ	5
POLR3GL	4
POMGNT2	2
POMT1	10
POR	4
POU2F2	7
PPARA	4
PPARD	8
PPDPF	2
PPIA	9
PPIB	1
PPID	3
PPIG	10
PPIH	7
PPM1A	1
PPM1B	3
PPM1D	1
PPM1F	6
PPM1G	2
PPP1CB	1
PPP1R12A	3
PPP1R12B	4
PPP1R12C	9
PPP1R13L	1
PPP1R15A	10
PPP1R16B	2
PPP1R21	10
PPP1R37	8
PPP1R3B	6
PPP1R3F	4
PPP1R9B	5
PPP2R1B	3
PPP2R2A	10
PPP2R3B	4
PPP2R5A	8
PPP2R5D	1
PPP2R5E	5
PPP3CA	2
PPP3CB	7
PPP3CC	1
PPP3R1	5
PPP4R1	7
PPP4R2	7
PPP4R3A	7
PPP4R3B	1
PPP5C	8
PPP6C	1
PPP6R1	2
PPP6R2	1
PPP6R3	3
PPRC1	4
PPT1	8
PPTC7	3
PRAF2	2
PRDM15	6
PRDX1	2
PRDX2	4
PRDX3	3
PRDX5	5
PRDX6	3
PREP	9
PRF1	9
PRICKLE3	6
PRKAA1	4
PRKAB1	6
PRKAB2	10
PRKACA	2
PRKACB	4
PRKAG1	1
PRKAR2A	10
PRKCB	8
PRKCD	10
PRKCH	4
PRKCI	3
PRKCSH	7
PRKD2	1
PRKD3	5
PRMT2	8
PRMT3	9
PRMT9	3
PRNP	9
PRORP	4
PROSER3	5
PRPF39	6
PRPS1	6
PRPSAP1	6
PRPSAP2	10
PRR12	5
PRR14	7
PRRC1	7
PRRC2A	7
PRRC2C	4
PRXL2A	2
PRXL2B	5
PRXL2C	7
PSAP	9
PSAT1	8
PSD4	6
PSEN1	4
PSENEN	9
PSIP1	3
PSKH1	4
PSMB10	7
PSMB5	10
PSMB8	6
PSMD5	9
PSME1	10
PSME2	4
PSMF1	7
PSPC1	3
PSTPIP1	3
PTAR1	7
PTBP2	1
PTBP3	9
PTEN	7
PTER	10
PTGES2	9
PTGIR	4
PTK2B	10
PTMS	4
PTOV1	6
PTPN11	10
PTPN12	3
PTPN18	6
PTPN2	1
PTPN22	8
PTPN6	1
PTPN7	7
PTPN9	1
PTPRA	6
PTPRC	5
PTS	6
PTTG1IP	5
PUM1	5
PUM2	6
PURA	5
PURB	6
PUS1	1
PUS3	10
PUS7	2
PWWP2A	4
PXK	5
PXMP4	8
PXN	10
PXYLP1	1
PYCR2	10
PYGB	3
PYGO2	1
QKI	4
QRICH1	2
QSER1	2
QSOX1	1
QSOX2	3
QTRT2	5
R3HCC1	2
R3HCC1L	8
R3HDM4	9
RAB11A	5
RAB11B	4
RAB11FIP1	5
RAB11FIP2	3
RAB11FIP5	7
RAB12	2
RAB14	8
RAB1B	2
RAB21	2
RAB23	1
RAB27A	3
RAB28	9
RAB29	1
RAB2A	4
RAB2B	1
RAB30	5
RAB33A	1
RAB33B	10
RAB35	9
RAB39B	8
RAB3GAP1	1
RAB3GAP2	3
RAB40C	6
RAB4A	2
RAB5A	1
RAB5B	2
RAB5C	5
RAB5IF	10
RAB7A	2
RAB8A	3
RAB8B	8
RAB9A	4
RABAC1	2
RABEP1	8
RABEP2	8
RABEPK	2
RABGAP1	10
RABGAP1L	3
RABGEF1	9
RABIF	10
RABL6	3
RAC1	10
RAC2	4
RAD18	2
RAD23B	4
RAD51B	3
RAD54B	5
RAD54L	10
RADX	5
RAI1	2
RALB	10
RALBP1	9
RALGAPA1	1
RALGAPA2	2
RALGAPB	6
RALY	4
RAMP1	10
RANBP10	9
RANBP6	7
RAP1GDS1	10
RAP2B	7
RAP2C	2
RARA	1
RARG	9
RASA1	7
RASA2	8
RASA3	9
RASAL3	5
RASGRP1	6
RASGRP3	6
RASSF1	6
RASSF2	9
RASSF7	3
RB1	2
RB1CC1	3
RBAK	7
RBBP7	1
RBL2	3
RBM12B	10
RBM15B	10
RBM17	1
RBM23	1
RBM43	1
RBM45	8
RBM4B	10
RBM5	7
RBM6	3
RBPJ	5
RC3H1	6
RC3H2	10
RCAN3	5
RCBTB1	5
RCBTB2	10
RCC1L	5
RCC2	9
RCCD1	6
RCN2	8
RCOR1	8
RCOR3	10
RCSD1	1
RDH10	2
RDH11	10
RDH14	4
REEP4	8
REEP5	6
REL	8
RELA	6
RELB	8
RELL1	10
RELT	7
RENBP	3
REPIN1	7
RESF1	6
REXO1	6
REXO2	3
RFFL	3
RFK	7
RFTN1	3
RFX1	9
RFX2	6
RFX5	6
RFX7	10
RFXANK	5
RFXAP	6
RGCC	3
RGL2	6
RGS10	6
RGS14	8
RGS19	1
RGS2	1
RHBDD1	7
RHBDD2	8
RHBDF2	6
RHEB	5
RHEBL1	5
RHOF	6
RHOG	2
RHOT2	6
RIC8B	3
RICTOR	8
RIF1	5
RIGI	3
RIMOC1	2
RINL	2
RIOK3	6
RIOX1	8
RIPK1	2
RIPK3	3
RIT1	5
RLF	3
RLIG1	9
RLIM	7
RMC1	10
RMDN1	6
RMDN3	5
RMI1	5
RMND5A	2
RMND5B	6
RNASEH1	5
RNASEL	7
RNASET2	1
RNF10	9
RNF103	7
RNF11	5
RNF114	5
RNF121	6
RNF125	6
RNF126	1
RNF13	4
RNF139	10
RNF14	3
RNF141	5
RNF144A	8
RNF145	3
RNF146	6
RNF149	3
RNF157	2
RNF168	10
RNF169	3
RNF185	9
RNF19A	4
RNF2	7
RNF213	2
RNF216	1
RNF24	6
RNF26	8
RNF34	8
RNF44	1
RNF8	3
RNFT1	5
RNH1	4
RNPEPL1	4
ROCK2	7
RP2	5
RPE	6
RPGR	7
RPP25L	1
RPRD2	2
RPUSD3	3
RRAGC	7
RRAS2	6
RRBP1	7
RREB1	7
RRM2B	3
RRP1B	1
RSBN1L	5
RSPH3	6
RSRC1	2
RSRC2	4
RSRP1	5
RSU1	1
RTCA	9
RTL8C	2
RTN3	9
RUFY1	2
RUFY2	4
RUNDC1	4
RUSF1	5
RWDD1	5
RWDD2B	3
RWDD3	1
RXYLT1	4
RYK	1
S100A10	2
S100A11	7
S100A4	5
S100P	1
S1PR1	3
S1PR2	7
SAAL1	5
SAFB	4
SAFB2	6
SAMD1	8
SAMD10	10
SAMD3	10
SAMD8	2
SAMD9	9
SAMD9L	8
SAMHD1	10
SAMTOR	9
SAP30	7
SAPCD2	8
SAR1B	4
SARS2	6
SASH3	6
SAT1	1
SAT2	5
SAV1	3
SAYSD1	5
SBF1	4
SCAF4	5
SCAF8	1
SCAI	8
SCAMP1	8
SCAMP2	8
SCAMP3	8
SCAND1	2
SCAPER	6
SCARB1	4
SCARB2	5
SCCPDH	7
SCFD2	7
SCLY	7
SCNM1	8
SCOC	7
SCP2	10
SCPEP1	9
SCRN2	2
SCYL2	4
SDCBP	9
SDF2L1	8
SDHAF1	1
SDHAF2	2
SDHAF4	10
SDR39U1	9
SEC11C	9
SEC14L2	9
SEC16A	9
SEC22A	6
SEC22B	2
SEC22C	3
SEC23A	7
SEC23B	3
SEC23IP	1
SEC24B	9
SEC24D	1
SEC31A	6
SEC62	3
SEC63	5
SECISBP2L	10
SEL1L3	8
SELENOI	4
SELENOK	6
SELENON	7
SELENOO	5
SELENOS	4
SELENOW	3
SELL	1
SELPLG	5
SENP7	6
SEPTIN1	6
SEPTIN11	7
SEPTIN8	6
SERF2	10
SERGEF	3
SERINC1	5
SERINC3	6
SERINC5	3
SERPINB8	8
SERPINB9	5
SERPINH1	10
SERTAD1	3
SERTAD3	3
SESN2	3
SESN3	4
SET	10
SETD5	2
SETD6	5
SETDB1	2
SFI1	8
SFMBT2	1
SFT2D1	3
SFT2D2	4
SFT2D3	9
SFXN1	10
SFXN3	1
SFXN4	6
SFXN5	9
SGCB	6
SGF29	2
SGK1	6
SGO2	7
SGPL1	8
SGPP1	9
SGSM2	5
SGSM3	3
SH2B1	1
SH2B3	9
SH2D1A	1
SH2D3A	4
SH3BGRL	7
SH3BP5L	5
SH3GLB1	7
SH3KBP1	8
SH3TC1	9
SHCBP1	2
SHFL	10
SHISA5	4
SHKBP1	1
SHLD1	7
SHMT1	4
SHMT2	5
SHPK	8
SHPRH	2
SIAE	1
SIAH1	10
SIDT1	2
SIGMAR1	10
SIK3	10
SIKE1	4
SIN3A	9
SIN3B	7
SINHCAF	8
SIPA1	6
SIPA1L3	8
SIRT3	9
SIRT5	7
SIRT6	3
SIRT7	4
SIT1	3
SIVA1	4
SKA1	4
SKAP1	9
SKIL	10
SLAIN2	2
SLAMF1	7
SLAMF7	1
SLC11A2	8
SLC12A2	7
SLC12A4	10
SLC15A4	9
SLC16A1	3
SLC16A13	8
SLC16A7	9
SLC17A5	10
SLC18B1	1
SLC19A1	7
SLC19A2	2
SLC1A4	5
SLC20A1	7
SLC25A1	3
SLC25A12	9
SLC25A13	3
SLC25A14	2
SLC25A15	1
SLC25A16	7
SLC25A17	7
SLC25A19	5
SLC25A20	1
SLC25A23	2
SLC25A24	1
SLC25A28	5
SLC25A3	3
SLC25A30	4
SLC25A32	5
SLC25A33	2
SLC25A37	6
SLC25A39	7
SLC25A4	6
SLC25A43	5
SLC25A44	9
SLC25A45	5
SLC25A46	3
SLC25A5	3
SLC25A51	7
SLC26A2	8
SLC26A6	3
SLC27A2	8
SLC27A4	7
SLC27A5	8
SLC2A1	8
SLC2A11	10
SLC2A3	9
SLC2A4RG	3
SLC30A1	10
SLC30A5	5
SLC30A6	1
SLC30A9	1
SLC31A2	6
SLC33A1	5
SLC35A1	5
SLC35A3	4
SLC35A4	8
SLC35B2	7
SLC35B3	8
SLC35B4	5
SLC35C1	10
SLC35D1	3
SLC35E1	5
SLC35E3	4
SLC35F2	4
SLC35F6	9
SLC35G1	9
SLC36A1	4
SLC36A4	8
SLC37A4	7
SLC38A1	6
SLC38A10	6
SLC38A2	10
SLC38A5	7
SLC38A9	1
SLC39A1	5
SLC39A10	4
SLC39A11	2
SLC39A14	5
SLC39A3	10
SLC39A8	10
SLC41A1	2
SLC41A3	4
SLC43A1	1
SLC43A3	9
SLC44A2	8
SLC48A1	4
SLC4A7	2
SLC50A1	1
SLC5A3	5
SLC66A2	3
SLC66A3	2
SLC6A6	10
SLC7A5	1
SLC8B1	2
SLC9A1	7
SLC9A6	4
SLC9A8	4
SLCO3A1	9
SLFN11	3
SLFN12L	4
SLFN5	9
SLMAP	6
SLTM	7
SMAD4	1
SMAD5	9
SMAP1	3
SMAP2	10
SMARCAD1	6
SMARCD1	9
SMARCD2	5
SMCHD1	6
SMCO4	10
SMCR8	5
SMDT1	6
SMG8	2
SMG9	10
SMIM10L1	5
SMIM12	9
SMIM13	7
SMIM15	8
SMIM19	2
SMIM20	5
SMIM29	5
SMIM3	6
SMPD1	10
SMPD2	5
SMS	8
SMTN	9
SMUG1	10
SMURF1	9
SMURF2	6
SMYD2	7
SMYD3	7
SNAP23	2
SNAPIN	2
SND1	1
SNHG32	9
SNRK	4
SNRPB2	1
SNTA1	7
SNTB2	9
SNX10	3
SNX11	4
SNX12	9
SNX13	10
SNX14	8
SNX16	2
SNX17	5
SNX19	9
SNX2	8
SNX20	8
SNX27	7
SNX3	9
SNX30	1
SNX8	10
SNX9	10
SOAT1	3
SOCS2	2
SOCS7	5
SOD2	4
SORL1	1
SOS1	4
SP1	7
SP140	1
SP140L	4
SP2	7
SP3	7
SP4	8
SPAG16	7
SPAG5	1
SPAG9	1
SPART	1
SPAST	2
SPATA2	8
SPECC1L	4
SPEN	3
SPG11	10
SPG21	8
SPICE1	6
SPIN4	8
SPNS1	9
SPOCK2	1
SPOP	9
SPPL2A	8
SPPL3	10
SPRYD3	5
SPRYD4	8
SPRYD7	1
SPSB2	3
SPTAN1	3
SPTLC1	2
SPTY2D1	4
SQOR	5
SRD5A3	9
SREBF2	4
SRGN	1
SRM	4
SRP54	2
SRPK1	2
SRPK2	10
SRR	7
SRSF10	7
SRSF4	6
SRSF5	7
SRSF6	3
SRSF8	1
SRSF9	7
SRXN1	10
SS18	5
SS18L2	6
SSBP2	5
SSBP3	10
SSBP4	10
SSH1	8
SSNA1	9
SSR1	4
SSR2	10
SSR3	3
ST13	9
ST20	9
ST3GAL2	5
ST3GAL3	8
ST3GAL4	9
ST3GAL5	8
ST6GAL1	3
ST6GALNAC4	10
ST7	2
ST8SIA4	4
STAG1	7
STAG2	7
STAM	1
STAM2	10
STAMBP	4
STAMBPL1	1
STARD3NL	7
STARD4	10
STARD5	5
STARD7	9
STAT1	3
STAT2	6
STAT3	9
STAT4	4
STAT5A	5
STAT6	2
STAU1	7
STAU2	8
STEEP1	7
STIM2	2
STING1	9
STIP1	2
STK10	4
STK11IP	1
STK16	10
STK17A	10
STK25	9
STK26	5
STK35	6
STK38	4
STK38L	4
STK39	4
STK4	10
STMP1	9
STOM	10
STRADA	5
STRIP1	5
STRIP2	1
STRN	10
STT3A	1
STX10	10
STX11	2
STX16	10
STX17	9
STX2	3
STX6	1
STX8	9
STXBP1	2
STXBP2	2
STXBP3	3
STYX	9
SUB1	10
SUCLG1	10
SUFU	1
SUMF1	2
SUMF2	8
SUN2	5
SUPT20H	3
SUPT3H	6
SUSD3	7
SUV39H1	7
SUV39H2	8
SVIP	2
SWSAP1	9
SYNE2	1
SYNGR2	9
SYNJ1	8
SYNJ2	2
SYPL1	4
SYT11	9
SYTL1	4
SYTL2	8
SYTL3	5
SZRD1	5
TAB1	8
TAB3	7
TADA1	1
TADA2A	9
TAF12	1
TAF13	6
TAF15	1
TAF6L	9
TAF9B	7
TAGAP	7
TALDO1	4
TANGO2	3
TANK	9
TAOK1	5
TAOK3	7
TAP2	6
TAPBPL	10
TAPT1	3
TARBP1	9
TARS3	3
TASL	2
TASOR	8
TASP1	1
TATDN2	1
TAX1BP1	5
TBC1D1	5
TBC1D10A	6
TBC1D10C	5
TBC1D13	4
TBC1D15	9
TBC1D20	5
